comid,known_baseflow,qout_median,qout_max,rp2,rp5,rp10,rp25,rp50,rp100,qout_max_premium,rp100_premium
760694790,18.756999969482422,8.04,307.94,138.977,179.559,202.96,229.36,247.107,263.467,461.9100036621094,395.2005
760551437,1.95,1.95,531.65,102.017,167.187,214.571,278.174,327.808,379.083,797.4750366210938,568.6245
760631309,13.08,13.08,644.07,183.997,298.632,378.259,480.709,557.483,634.166,966.105010986328,951.249
760659987,6292.3701171875,961.07,11994.89,5098.876,7401.713,8877.688,10674.59,11962.582,13208.354,17992.33447265625,19812.531
760703001,0.007000000216066837,0.0,32.25,2.329,4.831,7.882,14.501,22.595,34.843,48.375,52.264500000000005
760580122,1.25,2.27,539.11,151.92,244.988,310.67,396.593,462.071,528.421,808.6649780273438,792.6315000000001
750125088,1.0099999904632568,2.61,577.85,130.727,196.172,245.729,315.606,373.071,435.295,866.7749633789062,652.9425
760496164,1.5049999952316284,0.9,581.1,108.974,213.551,296.83,414.79,510.311,611.28,871.6499633789062,916.92
760649766,6.85,6.85,466.02,84.313,129.671,166.437,221.41,269.115,323.105,699.0299835205078,484.6575
710441003,19.38,19.38,2487.13,410.067,746.048,1047.259,1534.562,1986.647,2525.484,3730.69482421875,3788.226
760559663,22.48699951171875,6.11,626.95,193.762,321.028,405.951,510.502,585.366,657.244,940.4250183105468,985.866
770514997,35.25699996948242,2.62,1229.09,384.735,640.496,823.897,1066.065,1251.799,1440.758,1843.6349487304688,2161.137
750237767,277.6679992675781,203.2,11083.19,2613.867,4333.43,5779.282,8002.102,9976.135,12249.719,16624.78564453125,18374.5785
760416330,24.04,24.04,905.95,218.687,343.224,432.333,550.995,643.186,738.246,1358.9250183105469,1107.369
760551508,0.23000000417232513,0.18,338.15,74.985,131.853,174.151,231.412,276.2,322.411,507.22499084472656,483.6165
760703065,25.642000198364258,40.53,1289.97,443.927,671.588,827.784,1028.95,1180.7,1333.592,1934.9549560546875,2000.388
760533085,60.733001708984375,10.66,603.95,246.256,369.923,438.796,511.428,556.397,594.769,905.9250183105468,892.1535
770513014,1.0570000410079956,0.05,814.63,131.781,279.258,401.195,577.442,721.937,875.666,1221.9450073242188,1313.499
760076411,0.25999999046325684,0.09,120.87,31.142,47.831,59.694,75.446,87.668,100.269,181.30500411987305,150.4035
760641666,567.677978515625,99.36,4219.44,978.494,1601.981,2121.58,2914.739,3614.814,4417.235,6329.159912109375,6625.852499999999
760301701,0.032999999821186066,0.05,24.21,10.702,16.124,19.664,24.018,27.161,30.213,36.31499862670898,45.319500000000005
750133387,74.2249984741211,59.13,4024.15,829.351,1301.213,1657.144,2155.023,2560.47,2995.341,6036.224853515625,4493.0115
760764569,3.497999906539917,3.99,1126.77,282.075,500.752,651.968,841.686,979.148,1111.96,1690.155029296875,1667.94
760639645,33.654998779296875,15.43,716.57,251.169,391.254,477.305,576.37,643.13,704.22,1074.855010986328,1056.33
760682655,15.29,15.29,341.59,118.95,177.143,216.082,265.205,301.573,337.67,512.3849945068359,506.505
760844456,4.36,4.36,2235.98,387.298,684.012,909.304,1220.347,1468.293,1728.216,3353.969970703125,2592.3239999999996
750137514,261.1340026855469,403.6,11665.36,3004.193,4279.789,5211.444,6489.075,7514.986,8605.523,17498.04052734375,12908.284499999998
760535215,5.236000061035156,2.56,256.42,71.909,105.456,132.961,174.543,211.032,252.745,384.6300201416016,379.1175
760443059,0.10999999940395355,0.14,62.07,19.099,29.552,36.177,44.056,49.544,54.709,93.10499954223631,82.0635
770584764,6.7779998779296875,8.62,4657.77,1149.874,2032.167,2690.101,3582.109,4280.535,5001.591,6986.655029296875,7502.3865
750115015,229.94500732421875,389.16,11491.7,2938.582,4189.647,5100.544,6346.295,7344.055,8402.428,17237.55029296875,12603.642
750115016,1.9270000457763672,3.21,683.91,160.228,255.263,322.899,412.288,481.154,551.62,1025.8649597167969,827.4300000000001
760666331,7.62,7.62,559.02,198.526,301.714,362.62,430.453,474.785,514.367,838.530029296875,771.5504999999999
720206044,0.06700000166893005,0.03,21.86,3.364,5.783,7.778,10.777,13.381,16.317,32.790000915527344,24.4755
750084317,0.31200000643730164,1.21,278.29,57.584,95.688,128.788,181.221,229.116,285.611,417.4350128173828,428.4165
760504545,0.8500000238418579,0.98,167.29,46.724,76.055,97.993,128.283,152.586,178.295,250.9349899291992,267.4425
